"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
205461000,1501098803,30814904,1919802,3212,105,318,0,9166625,"VALENTINE","ONJB",71,27,135,13,12,63,"GB PURFLEET",514432
227733770,1501098491,22646650,-5423161,96,52,511,0,0,"ALIOTH","",37,11,0,0,3,0,"",
412205090,1501098440,19175817,72212452,3418,0,511,5,0,"JIN QIANG 26","BAED5",70,70,15,7,6,36,"J  Y",512576
244870335,1501098807,31802082,2868902,3413,1,318,0,9741918,"TEXELSTROOM","PE9877",60,15,120,14,14,40,"TEXEL",67585
211511160,1501098799,31835600,5322831,1270,0,511,0,0,"PANTHER","DA5645",79,72,13,5,6,28,"HB-NORDENHAM-HB",0
412379790,1501098251,18882895,72847984,2294,0,511,1,0,"SAN HANG TONG 17","",0,40,20,15,15,0,"SANG HAI",0
255805991,1501098641,22640900,-15398035,570,0,67,5,9479644,"SAO JORGE","CQIL3",80,67,17,4,8,47,"PONTA DELGADA",510366
205385290,1501098802,30750180,2634975,2069,0,511,0,0,"ATHINA","OT3852",79,125,10,7,5,0,"BASEL",291034
230994810,1501098765,36267892,15746243,2957,0,204,0,0,"RESCUE DEGERBY","OJJC",51,7,6,2,2,0,"LOVIISA AREA",0
257013880,1501098746,41986763,13998355,1898,1,511,0,0,"AURORA","",0,0,0,0,0,0,"",
205535390,1501098809,30753236,2647593,3600,0,511,0,0,"WAPPER","",89,81,6,6,6,10,"ANTWERPEN",117655
279202591,1501098809,26575276,13563732,2777,0,511,0,0,"TORO III","YT-2591",52,3,9,4,4,15,"BEOCIN",1596
244770241,1501098808,31131779,2564364,1979,0,511,0,0,"ORIENT","PE5230",79,12,5,7,2,20,"DINTELHAVEN",697652
266447000,1501098407,36098030,14980997,3490,1,286,5,9176046,"HSC EXPRESS","SIUO",40,30,61,17,9,38,"HEL-TAL-HEL",513216
244750077,1501098801,31902916,3247173,0,0,511,0,0,"MIRA CEDENATHO","PE7778",79,73,12,6,3,2,"MAASBRACHT",1596
230986740,1501098809,36123530,15374330,2120,0,160,0,0,"PILOT L228","?",50,11,3,2,2,20,"PORVOO",0
204600008,1501098808,22641172,-15401350,1777,1,511,2,9011480,"PERO DE TEIVE","CSJW",52,20,15,5,5,36,"P DELGADA",730112
636090965,1501098806,29929390,-1488491,747,152,76,0,9318046,"E R TOKYO","A8IE8",71,242,92,27,16,136,"ANTWERP",515264
211316470,1501098809,31867645,5236575,1,0,511,0,8711409,"BLEXEN","DEAQ",52,13,15,3,5,42,"BREMEN",395456
211283410,1501098810,31867810,5236293,388,0,38,15,8701090,"V.B. RECHTENFLETH","DILC",52,13,15,3,6,46,"BREMEN",510336
204204280,1501098808,22642040,-15401880,3600,0,511,4,0,"NATACHA FILIPA","CUVR6",30,0,0,0,0,0,"",1596
431003246,1501098809,21268783,83796366,3114,0,211,0,0,"KUMANO MARU","JD3302",52,12,25,7,3,35,"JP YOK",824192
256437000,1501098530,26637270,5316750,2760,1,337,1,9310393,"SANTA PAWLINA","9HA3913",83,83,22,10,7,73,"IT GOA",500288
244670301,1501098803,31422573,2974293,1614,0,511,0,0,"FIWADO 4","PF9642",99,18,7,4,1,0,"",67610
246087000,1501098808,31621384,3179214,1408,0,511,0,0,"WATERSPORT","PC8092",51,9,1,1,3,7,"ON DUTY",1596
264162593,1501098785,27316540,11449743,2243,0,511,0,0,"ROVINARI 19","YP2593",79,5,16,2,6,17,"BOGOJEVO",510528
654046100,1501098798,16887645,-9255119,2430,0,359,15,8850437,"AKCHAR 2","5TTDD",30,15,12,2,4,0,"",0
563001280,1501098800,774244,62256453,2792,1,511,15,8955392,"AYER MOLEK","9V5886",90,5,7,2,2,0,"",1596
244750689,1501098801,31430358,2956159,3145,0,511,0,0,"IJVEER 53","PH2820",60,14,14,4,5,24,"",569951
563005260,1501098806,730291,62235446,1774,2,511,0,9041605,"SEDNA","9V6523",80,25,50,3,11,0,"",0
