"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
636092767,1500321424,22057446,1841761,2621,0,270,5,9236224,"OKEE ANN MARI","D5NO2",72,159,16,7,20,89,"DZ ALG",492126
338123469,1500321427,26292654,-42062748,3208,0,511,0,0,"KATHIE M.","",37,12,8,2,3,0,"",
538002355,1500321216,17870169,73248205,2076,0,254,5,9241504,"OSPREY I","V7IB9",70,174,19,16,16,51,"ZHOUSHAN",440576
205233390,1500321554,30754542,2538537,380,0,511,0,0,"VITADOR","OT2333",79,76,10,6,4,10,"GEEL",718080
209808000,1500321514,32069340,4096494,2751,0,107,5,9658276,"TERRAMARE","5BUG3",33,10,20,5,5,34,"EEMSHAVEN",484544
477636200,1500320123,32326237,4650602,3092,190,315,0,9739692,"MAERSK GIBRALTAR","VRPN6",71,244,93,31,17,117,"ROTTERDAM",496640
413819532,1500321560,18812472,73038437,0,0,0,0,0,"WANYUANYANG1588","TSTAISB",70,16,59,6,7,0,"",0
257002340,1500321530,42018616,11217400,1630,0,511,0,0,"GRIMEN","",0,0,0,0,0,0,"",
412370480,1500321453,18808169,72911743,0,0,90,0,0,"FENG HUI YOU 9","",55,30,18,3,5,0,"",477549
273311050,1500321539,41368818,19817254,3600,0,288,5,8899744,"TORIN","UFYO",30,12,24,4,5,46,"MURMANSK",845824
257007440,1500321313,41980340,17790655,24,0,511,0,0,"ESKIL","LM6456",30,3,8,3,1,0,"",
413555470,1500321115,22604718,72114904,3600,0,511,1,0,"HAOSHUNZHIXING","BQSQ",70,82,18,10,13,36,"A:?Z",494656
258584000,1500321469,35656670,6279950,2712,0,213,5,7048491,"SIMRADECHO","JXHE",0,11,16,4,4,0,"HOME",1596
211474990,1500321571,32281053,5632449,2574,66,241,15,0,"ERNST STURM","DIWC",69,30,28,7,7,15,"WISCHHAFEN/GLUECKSTA",1596
319055400,1500321320,23714189,1545128,577,1,203,1,1011850,"OCEAN VICTORY","ZGDK3",37,57,83,14,14,56,"PORTALS NOUS",494366
366849310,1500321571,20037092,-70571200,2163,3,511,0,0,"DANA PRIDE","WE00",30,0,0,0,0,0,"",1596
413445290,1500321251,22581574,72851005,1278,0,319,1,0,"HUI MENG","BKVD5",70,85,15,12,8,55,"YANTAI==BINGZHOU",494942
257972500,1500321516,37840496,4503153,0,0,0,0,0,"HAAHEIM","",37,12,4,3,3,0,"",
265632540,1500321546,35598713,10846336,3600,0,283,0,0,"GUSTAFSBERG VII","SGFM",60,9,26,3,4,26,"",1596
210604000,1500321553,23207457,1525715,605,107,58,0,9017434,"WILSON HOOK","P3TW9",79,90,0,9,6,58,"MARINA DI CARRARA",498560
431000590,1500320393,20923310,84031830,580,211,58,0,9526655,"ISHIKARI","JD3167",60,42,158,20,7,67,">JP NGO",494238
236286000,1500321370,22390303,-5826752,1683,122,164,0,9352743,"BBC ATLANTIC","ZDGX2",1,98,17,11,6,47,"KOPER",508928
249524000,1500321534,30544720,-863300,1820,0,296,0,9389485,"SMIT ELBE","9HB4829",52,8,20,3,7,52,"SOUTHAMPTON",431508
235100575,1500321157,31991636,-1955776,2671,0,330,5,0,"ICENI VICTORY","2GUG2",40,13,11,5,3,12,"MOSTYN><GWYNTY MOR",494686
272058400,1500321237,27896360,18441227,108,0,511,0,0,"PURGA","",52,5,8,3,1,0,"",0
273386110,1500321565,35924519,18123660,3600,0,511,15,9658666,"MURMANSK","UBVN2",0,55,64,13,14,0,"",1596
341337000,1500321506,31133640,2667426,2640,0,511,0,9005326,"POMOR TRADER","V4JJ3",70,99,10,7,9,52,"MOERDIJK",469696
477853000,1500321290,17865100,73240670,1810,0,225,5,9214109,"JIN LI","VRWV7",70,162,28,18,14,63,"ZHOU SHAN",464192
412379850,1500321556,18825052,73074896,98,0,318,0,0,"HAI XUN 0107","BTIB",55,5,35,1,5,25,"HENGSHA",0
413983067,1500321532,13858166,68053082,3006,0,511,0,0,"LIUCHENG 9869","",70,46,6,7,3,0,"",
279202222,1500321561,26907454,12385912,2464,0,511,15,0,"CARDAK","YT2222",99,5,11,6,2,18,"",1596
257640600,1500321507,36492798,3014449,3003,19,311,15,0,"BRAGE","LG8320",52,7,8,4,4,0,"",1596
230994810,1500321560,36267880,15746241,3034,0,202,0,0,"RESCUE DEGERBY","OJJC",51,7,6,2,2,0,"LOVIISA AREA",0
366918840,1500321521,22687166,-73474469,842,88,511,0,0,"HAPPY DAYS","WDB6140",30,3,10,3,2,0,"",
412704990,1500321395,14657916,70824288,0,0,480,0,0,"HAI DA 718","",0,0,0,0,0,0,"",
211502420,1500321399,30805616,3998187,3600,0,511,5,0,"MS92","DA5629",33,55,10,2,8,0,"RECKERFELD",1596
477541900,1500321292,23935665,71925697,3389,1,67,1,9338307,"FPMC CONTAINER 8","VRFL8",70,137,11,12,11,60,"QINHUANGDAO",503808
563000001,1500321556,784025,62236428,3600,0,511,0,9774056,"ENG HUP GALLANT","9V3375",37,8,24,4,5,0,"",0
413459840,1500321499,17934520,73198320,1076,1,511,0,0,"","",80,40,13,5,5,0,"",
230109470,1500321562,35984897,14634150,2645,2,69,15,0,"PILOT L129","?",50,12,4,2,3,26,"HELSINKI AREA",639737
211751880,1500321554,32010907,4328963,3600,0,511,0,0,"ANNA","DC9204",79,60,9,7,2,20,"EMDEN",129875
412356120,1500321227,17957606,73359984,2167,0,511,1,0,"HENGFA11","BHEF",80,90,24,8,8,45,"ZHOU SHAN",695040
413760074,1500321490,18826500,73169068,2658,75,511,0,0,"YUZHOUKOHUO 6930","",70,25,10,3,4,0,"",
230286000,1500321543,36186568,15331400,2906,0,183,0,7927958,"ESKO","OIOI",52,15,15,1,9,42,"PORVOO HARBOUR TUG",508672
239617600,1500321562,22775780,14122000,1054,79,511,0,9595773,"APOSTOLOS M","SVA3629",60,50,54,6,12,26,"PALOUKIA-PERAMA",1596
244620315,1500321428,31362888,3197188,1272,0,511,0,0,"AGAPE","",0,0,0,0,0,0,"",
